,student_id,snitched_by,obs_time,place,obs_id,data,name,last_name,name_snitched,last_name_snitched
0,591994be-9b41-4ccd-84ea-77177de1f8ba,9e30a0c8-8972-47cd-9bed-b315f7f37b43,2020-02-25 09:40:39,bathroom,9e6d404a-f461-493f-b011-c6d0c45d5556,b'DquTdgt8qz0FSctS5nuZhg==',millie,donaldson,fredrick,sweeney
1,f7cb67ab-4739-4530-a24a-271df85ba8de,9e30a0c8-8972-47cd-9bed-b315f7f37b43,2020-06-08 15:13:44,classroom,7d09456f-577c-4aec-9123-4b8096a2a5d2,b'maIpYL1sbnZpzWzSKOENXQ==',mark,garner,fredrick,sweeney
2,9cfd0d0f-560a-460d-9204-e2a4c4973a9a,9e30a0c8-8972-47cd-9bed-b315f7f37b43,2020-01-16 14:27:36,computer_room,bc10e64b-e153-4f10-895a-f405953b97a8,b'vvDz0TLfHUVL186P3z8aBg==',mollie,frye,fredrick,sweeney
3,091a3be0-885d-4a9c-8ce0-88a38add389b,9e30a0c8-8972-47cd-9bed-b315f7f37b43,2020-09-18 09:05:26,classroom,5488adc9-15f9-4547-b04f-d88d83d998f4,b'Gv3oQKiNbe3g7+YqYXchthEQZs0w8KXu',lucile,kane,fredrick,sweeney
4,591994be-9b41-4ccd-84ea-77177de1f8ba,24928f28-95e7-4785-a51a-6e33b20c5959,2020-05-20 09:12:37,cafeteria,52d9f18f-2829-4f8b-a1ca-fdb2f8c4a83c,b'mZpe6ln50aEPBY0n1/uLloF+4tAvuOmyYQyvyWsWWOqraMDFdXRaM+lugZYvVivd',millie,donaldson,cordelia,alfaro
5,1e96f68f-5c82-4e8a-a969-4fa6e98389ed,24928f28-95e7-4785-a51a-6e33b20c5959,2020-03-14 12:48:47,classroom,f1ba8d78-3f18-4a76-9860-1fb7df62ef96,b'lR4S13LVWDRs99lNdjFRZQ==',eliza,leon,cordelia,alfaro
6,6b49ab0b-cbf5-4ef0-9ae7-aa4d9006a81d,1f78d3ed-5b89-429f-8ae3-26a417613c23,2020-01-04 11:50:54,bathroom,ba1f1beb-1c16-4440-98db-69119f74e370,b'KiLKK9CI6t+Pj+5GPcziu2z32U12MVFl',lucie,nguyen,elwyn,pacheco
7,57796173-dc80-4560-8263-444d4fe891d7,1f78d3ed-5b89-429f-8ae3-26a417613c23,2020-11-16 15:37:30,hallway,cc66b1fb-424d-4d53-9b1a-994f61eb15ee,b'/DcbqiNs9Xg=',zona,liu,elwyn,pacheco
8,a2480cbb-1aa4-45dd-bac3-0da7def0dbfc,1f78d3ed-5b89-429f-8ae3-26a417613c23,2020-06-15 12:30:22,classroom,ac22ab36-6421-47de-b4bf-e1ba94a513bd,b'jBx3jZWADA6c43sbUIqzb4HQQAx7C16CwByaoH4Sg1q6fQRz8Db10w==',minta,wiley,elwyn,pacheco
9,8d630273-1ce6-47c1-bebc-3571023e8257,d6ca6f46-6e89-4cbe-84b5-f85863517501,2020-05-11 14:31:04,classroom,1908179f-3124-4009-a3c1-7590744d0ef6,b'yIGSIUkigms=',vesta,bauer,britton,orozco
10,13c8e79f-796a-4f7f-b123-042e925f7219,fb28cd8b-873d-4df6-9016-e73e64aed865,2020-01-01 09:02:39,cafeteria,e4da65fa-d3e7-4e81-9e05-ea2b1d57a36a,b'9eRf1RhKJLODbKwxe+tJtw==',calvin,nguyen,melvin,spence
11,0eacc8da-9e8b-4678-addc-e5089f8167c5,fb28cd8b-873d-4df6-9016-e73e64aed865,2020-07-23 10:46:34,bathroom,87cdedab-2082-43b0-9988-05101a153d8c,b'ObTyXG9wzKFnJbQRC36W967UUKtbkqnewvy4EMj4u3VzlcVuG1u4OQ==',chris,gibson,melvin,spence
12,13c8e79f-796a-4f7f-b123-042e925f7219,ef1f32cf-56d5-46aa-bbed-61d9da43fbc7,2020-10-15 09:14:52,gym,f47edb46-9cb2-4158-9815-07cdf34e28eb,b'h0pPxkJ0pmM8Cm5iPvd0EaRnlIMD7QSk',calvin,nguyen,simon,lu
13,9e13349d-830b-47aa-b879-ce8e1e3f7e75,ef1f32cf-56d5-46aa-bbed-61d9da43fbc7,2020-02-10 16:14:35,classroom,272460b4-1b57-4217-96f2-88289470d1fd,b'yIGSIUkigms=',josie,mullen,simon,lu
14,b9a69d05-49ec-4ec2-8737-cb881e66cae4,35d17d09-1eab-40fd-9a2c-78e10897ed95,2020-11-02 10:45:36,classroom,b327c5b5-34dc-470e-a58a-d32a754cf0f8,b'cCU6TlaLQQYGWj70QJJSwA==',gaylord,rangel,bess,gardner
15,840c900e-94a0-4d39-979c-56a38250a78a,35d17d09-1eab-40fd-9a2c-78e10897ed95,2020-05-04 11:53:11,corridor,b8f44b59-7998-42f8-bdeb-13f60a350daf,b'wbwNdIl5/a4=',alonzo,salas,bess,gardner
